index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
1260,face,high,webp,64,point-and-shoot digital camera photo,tungsten indoor lighting with warm cast,,,Middle Eastern,,young,man,plain studio background,,,"A point-and-shoot digital camera photo of a young Middle Eastern man in plain studio background, with tungsten indoor lighting with warm cast"
1261,nature,high,png,100,photojournalist shot,dappled shade under trees,color banding,as if saved from a YouTube video at 480p,,,,,,,a coral reef seen from below the water surface,"A photojournalist shot of a coral reef seen from below the water surface, with dappled shade under trees, color banding, as if saved from a YouTube video at 480p"
1262,face,low,webp,95,video still frame,tungsten indoor lighting with warm cast,,,Indigenous,brown skin,middle-aged,person,outdoor park,,,"A video still frame of a middle-aged Indigenous person with brown skin in outdoor park, with tungsten indoor lighting with warm cast"
1263,nature,medium,png,100,screen recording or screenshot,mixed indoor-outdoor lighting,color banding,,,,,,,,a savanna with acacia trees,"A screen recording or screenshot of a savanna with acacia trees, with mixed indoor-outdoor lighting, color banding"
1264,face,low,jpeg,60,medium format film photo,dramatic side lighting,,as if shared on WhatsApp with compression,East African,very light skin,middle-aged,person,government building,face very small in frame,,"A medium format film photo of a middle-aged East African person with very light skin in government building, with dramatic side lighting, face very small in frame, as if shared on WhatsApp with compression"
1265,nature,medium,webp,100,screen recording or screenshot,mixed indoor-outdoor lighting,lens distortion,as if shared on WhatsApp with compression,,,,,,,a savanna with acacia trees,"A screen recording or screenshot of a savanna with acacia trees, with mixed indoor-outdoor lighting, lens distortion, as if shared on WhatsApp with compression"
1266,nature,medium,webp,50,photo taken of a TV screen,neon lighting,lens distortion,,,,,,,,a narrow cobblestone alley between old buildings,"A photo taken of a TV screen of a narrow cobblestone alley between old buildings, with neon lighting, lens distortion"
1267,face,high,png,100,tablet camera photo,nighttime artificial lighting,,,Indigenous,,young,woman,conference stage,face through glass,,"A tablet camera photo of a young Indigenous woman in conference stage, with nighttime artificial lighting, face through glass"
1268,scene,medium,webp,85,infrared camera image,neon lighting,,as if shared on WhatsApp with compression,,,,,,,a press conference with reporters,"A infrared camera image of a press conference with reporters, with neon lighting, as if shared on WhatsApp with compression"
1269,nature,low,jpeg,97,medium format film photo,dramatic side lighting,overexposed highlights,,,,,,,,an old European cathedral exterior,"A medium format film photo of an old European cathedral exterior, with dramatic side lighting, overexposed highlights"
1270,face,medium,jpeg,70,selfie,very low ambient light,inconsistent shadows,as if screenshotted from TikTok,Eastern European,,middle-aged,woman,cafe or restaurant,,,"A selfie of a middle-aged Eastern European woman in cafe or restaurant, with very low ambient light, inconsistent shadows, as if screenshotted from TikTok"
1271,face,high,png,100,Polaroid instant photo,nighttime artificial lighting,,,Southern European,olive skin,middle-aged,man,bathroom mirror,extreme close-up,,"A Polaroid instant photo of a middle-aged Southern European man with olive skin in bathroom mirror, with nighttime artificial lighting, extreme close-up"
1272,scene,high,webp,56,security camera CCTV footage,tungsten indoor lighting with warm cast,heavy JPEG compression artifacts,,,,,,,,a music festival crowd at night,"A security camera CCTV footage of a music festival crowd at night, with tungsten indoor lighting with warm cast, heavy JPEG compression artifacts"
1273,face,high,webp,30,video still frame,nighttime artificial lighting,digital zoom pixelation,as if screenshotted from TikTok,African American,medium skin,elderly,man,dimly lit room,,,"A video still frame of a elderly African American man with medium skin in dimly lit room, with nighttime artificial lighting, digital zoom pixelation, as if screenshotted from TikTok"
1274,face,high,jpeg,43,selfie,direct flash,lens distortion,as if screenshotted from TikTok,Indigenous,brown skin,elderly,man,outdoor park,extreme close-up,,"A selfie of a elderly Indigenous man with brown skin in outdoor park, with direct flash, lens distortion, extreme close-up, as if screenshotted from TikTok"
1275,nature,low,jpeg,32,infrared camera image,candlelight,heavy noise or grain,as if downloaded from Instagram,,,,,,,a bridge over a river at twilight,"A infrared camera image of a bridge over a river at twilight, with candlelight, heavy noise or grain, as if downloaded from Instagram"
1276,face,low,webp,33,night vision camera image,tungsten indoor lighting with warm cast,lens distortion,,Latino,,elderly,person,government building,face through glass,,"A night vision camera image of a elderly Latino person in government building, with tungsten indoor lighting with warm cast, lens distortion, face through glass"
1277,nature,medium,webp,79,doorbell camera capture,nighttime artificial lighting,,,,,,,,,a mountain range at sunset,"A doorbell camera capture of a mountain range at sunset, with nighttime artificial lighting"
1278,nature,high,png,100,early 2000s digital camera photo,harsh overhead fluorescent lighting,color banding,,,,,,,,a dense forest trail,"A early 2000s digital camera photo of a dense forest trail, with harsh overhead fluorescent lighting, color banding"
1279,face,high,webp,70,night vision camera image,backlit with rim lighting,,as if downloaded from Instagram,Eastern European,,elderly,person,bathroom mirror,,,"A night vision camera image of a elderly Eastern European person in bathroom mirror, with backlit with rim lighting, as if downloaded from Instagram"
1280,face,low,webp,30,medical clinical photo,direct flash,lens distortion,,Afro-Caribbean,,elderly,woman,dimly lit room,,,"A medical clinical photo of a elderly Afro-Caribbean woman in dimly lit room, with direct flash, lens distortion"
1281,scene,medium,webp,100,scanned printed photograph,neon lighting,lens distortion,,,,,,,,a courtroom during a hearing,"A scanned printed photograph of a courtroom during a hearing, with neon lighting, lens distortion"
1282,face,low,webp,47,photo taken of a TV screen,dramatic side lighting,slight motion blur,as if shared on Twitter with reduced resolution,Middle Eastern,dark brown skin,elderly,woman,cafe or restaurant,face partially in shadow,,"A photo taken of a TV screen of a elderly Middle Eastern woman with dark brown skin in cafe or restaurant, with dramatic side lighting, slight motion blur, face partially in shadow, as if shared on Twitter with reduced resolution"
1283,scene,high,jpeg,72,product photography on white background,very low ambient light,color banding,,,,,,,,a classroom full of students,"A product photography on white background of a classroom full of students, with very low ambient light, color banding"
1284,nature,medium,jpeg,47,dashcam footage,dappled shade under trees,overexposed highlights,,,,,,,,a stack of old photographs,"A dashcam footage of a stack of old photographs, with dappled shade under trees, overexposed highlights"
1285,nature,medium,webp,56,point-and-shoot digital camera photo,mixed indoor-outdoor lighting,chromatic aberration,as if forwarded on Telegram multiple times,,,,,,,a stack of old photographs,"A point-and-shoot digital camera photo of a stack of old photographs, with mixed indoor-outdoor lighting, chromatic aberration, as if forwarded on Telegram multiple times"
1286,nature,low,webp,80,street photography shot,nighttime artificial lighting,digital zoom pixelation,,,,,,,,a row of parked cars on a residential street,"A street photography shot of a row of parked cars on a residential street, with nighttime artificial lighting, digital zoom pixelation"
1287,scene,medium,webp,37,candid photo taken from a distance,screen-lit in a dark room,inconsistent shadows,as if forwarded on Telegram multiple times,,,,,,,a busy airport terminal with travelers,"A candid photo taken from a distance of a busy airport terminal with travelers, with screen-lit in a dark room, inconsistent shadows, as if forwarded on Telegram multiple times"
